timestamp,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad,quat_rel_x,quat_rel_y,quat_rel_z,quat_rel_w
1763249746.332333,-0.023878,-0.028321,-0.044372,0.408557,-0.005044,-0.070269,-0.399432,0.0020275000000000154,0.06350650000000002,0.4070287816671458,0.09652960645328101,0.1857975620008475,-0.015246613987643034,0.9777161355907081
1763249746.362352,-0.031116,-0.03773,-0.050428,0.012258,-7e-05,-0.001586,-0.003582000000000002,-0.004034499999999996,-0.001243499999999953,0.0035860391668091837,-0.0012532921073980195,0.0018146404196521869,0.0031277761096516754,0.9999926766510087
1763249746.418564,-0.031624,-0.020906,-0.044582,0.003753,-2.8e-05,-0.00047,0.004852999999999996,-0.002431500000000003,-0.0005015000000000436,-0.004859527069705792,-0.0029395522782672988,-0.002154693111580317,0.0022168319594313888,0.9999909009516347
1763249746.448645,-0.02257,-0.010383,-0.031131,0.000778,5.3e-05,0.00107,0.007875,-0.0032794999999999908,-0.0004954999999999821,-0.007886215736887352,-0.0030616543587903334,-0.0036750557827953676,0.0026381243786451286,0.9999850801573709
1763249746.505525,-0.01567,-0.007202,-0.021865,-0.001012,0.001838,8.4e-05,0.008259999999999997,-0.0032645000000000035,-0.0004695000000000116,-0.008271881164138052,-0.002827081511362075,-0.003917207743059123,0.0026431146977042006,0.9999848384042234
1763249746.578607,-0.006867,-0.005843,-0.012051,-0.001876,0.001853,-0.000938,0.008183999999999997,-0.0031084999999999863,-0.0004435000000000411,-0.008195758104307192,-0.002664821995220871,-0.003911012261419875,0.0025718714396929664,0.999985493986849
1763249746.578932,0.001936,-0.004484,-0.002238,-0.00274,0.001867,-0.00196,0.008108999999999998,-0.002952499999999997,-0.00041749999999995957,-0.008120631946395104,-0.0025026605916166735,-0.003904759010014704,0.002501522279233468,0.9999861158702772
1763249746.608567,0.001846,-0.000207,-0.00062,-0.001716,0.003542,-0.001455,0.007732999999999997,-0.002846500000000002,-0.0004195000000000171,-0.007743973518329991,-0.002457037647159391,-0.003721820044617857,0.002450533942885701,0.9999870528686612
1763249746.668395,0.005892,-0.003533,-0.005837,-0.000948,0.001365,-0.002208,0.007543000000000001,-0.002861499999999989,-0.00043250000000005784,-0.007553719005902931,-0.0023753090531450105,-0.0036403707193065128,0.0024626968559581645,0.9999875202881903
1763249746.699904,0.01444,0.008987,-0.008105,0.001116,-0.000572,0.001496,0.007351999999999997,-0.002967499999999984,-0.0004644999999999788,-0.007362396871029478,-0.0022144734107016114,-0.0035750150536548357,0.0025257609750924913,0.9999879678808021
1763249746.731693,0.001872,0.000357,-0.011402,-0.001379,-0.000656,-0.00052,0.007400999999999998,-0.0029954999999999843,-0.00046749999999995406,-0.007411455142303375,-0.0019701974665509744,-0.0036480003522474285,0.002552823770801585,0.9999881466828334
1763249746.78736,-0.005675,0.005023,-0.010533,2e-06,-7.7e-05,-0.0003,0.007481999999999996,-0.002971499999999988,-0.00045850000000002833,-0.007492565013615615,-0.0018032253639961228,-0.0037225505604314363,0.0025504816421058254,0.9999881929497993
1763249746.867234,-0.00404,0.002407,-0.001704,0.000166,-0.000542,-0.000188,0.007488999999999996,-0.0026934999999999876,-0.0004035000000000011,-0.007499593257699014,-0.0018031556081550973,-0.0037257298420823783,0.002408584618609406,0.9999885330778207
1763249746.867449,-0.002405,-0.00021,0.007125,0.00033,-0.001007,-7.5e-05,0.007495999999999996,-0.002416499999999988,-0.00034849999999997383,-0.007506627852397835,-0.0018031861246375726,-0.0037299006760133043,0.0022667660695871515,0.999988849003994
1763249746.896983,0.001557,-0.00866,0.007116,-0.000856,-0.000604,-0.001855,0.007493,-0.0024744999999999906,-0.00036049999999998583,-0.007503596479512216,-0.0019793006169951883,-0.003693318778392467,0.0022871422383002396,0.9999886053080058
1763249746.925511,-0.001815,0.006277,0.003189,-0.000378,0.000495,-0.000802,0.0074679999999999955,-0.0027864999999999973,-0.0004224999999999923,-0.007478580964285955,-0.0021772899624310934,-0.003641433019391091,0.002434876496453926,0.999988035303639
1763249746.97993,-0.006192,0.003118,-0.004815,-0.000341,0.00058,-0.00072,0.007605999999999995,-0.0026644999999999863,-0.0003904999999999603,-0.007616813143758172,-0.002100306663863519,-0.0037273803997825115,0.0023774518182565763,0.9999880214633199
1763249747.009848,-0.00782,0.006679,-0.008163,0.000202,-0.000402,0.000426,0.007790999999999999,-0.0023175,-0.00031250000000004885,-0.007802077760648798,-0.0019032010963180197,-0.0038603458672243694,0.0022108491577323432,0.9999882937821694
1763249747.064876,-0.00812,0.005325,-0.005025,0.000172,0.001249,-0.000363,0.007782999999999998,-0.0019934999999999814,-0.0002495000000000136,-0.007794062365803427,-0.0017893776197422404,-0.003878481591168474,0.002050886478135036,0.9999887746234628
1763249747.09488,-0.007464,0.003904,-0.000601,-0.000195,0.000783,-0.000599,0.008093999999999997,-0.0016304999999999792,-0.0001594999999999791,-0.008105603631093701,-0.0017467566506649587,-0.004045505022548609,0.001868183026739791,0.999988546245653
1763249747.168339,-0.008913,0.001162,-0.002734,-0.000602,0.001593,-0.000947,0.008306000000000001,-0.001162499999999983,-5.5499999999986116e-05,-0.008317923508955764,-0.0017052191756599588,-0.00416228863884425,0.0016310333809721833,0.9999885535899699
1763249747.168493,-0.010362,-0.00158,-0.004867,-0.001009,0.002403,-0.001296,0.008518999999999999,-0.0006944999999999868,4.950000000003563e-05,-0.008531284919082352,-0.001663618142188696,-0.004278973001629545,0.0013949741896585113,0.9999884883396102
