t_beep,event,type,axis_chosen,onset_time,hold_time,onset_score,dtheta,max_pitch,max_roll
1760006546.997246,BEEP_SLOUCH,normal_slouch,roll,1760006548.47627,1760006548.814031,88.98595451426414,311.4508407999245,10.376176896450485,244.9751716162587
1760006551.497246,BEEP_RECOVER,normal_slouch,roll,1760006553.025922,1760006554.478657,3.5802652995563613,12.530928548447264,11.924004450516659,271.5012052589517
1760006560.768246,BEEP_SLOUCH,fast_slouch,roll,1760006561.452289,1760006561.77737,2.213837881482537,7.74843258518888,6.969548828719954,349.5126986403567
1760006565.268246,BEEP_RECOVER,fast_slouch,roll,1760006566.69224,1760006567.689075,8.96227251194276,31.367953791799664,9.399799816131399,259.25746773114093
1760006576.268246,BEEP_SLOUCH,micro_slouch,roll,1760006577.558368,1760006579.275334,50.58296016244068,177.04036056854238,6.924119939592838,318.8217117955344
1760006580.768246,BEEP_RECOVER,micro_slouch,roll,1760006582.390617,1760006583.627145,5.353731599849875,18.738060599474565,11.144820649492967,251.03074429244955
1760006591.164246,BEEP_SLOUCH,lateral_left,pitch,1760006592.305586,1760006592.523824,2.9296567245251937,17.577940347151163,64.4259108153459,107.96503423121571
1760006595.664246,BEEP_RECOVER,lateral_left,roll,1760006597.232312,1760006598.300608,10.910007484248073,38.18502619486826,130.7259863276736,236.7851829208778
1760006607.191246,BEEP_SLOUCH,lateral_right,pitch,1760006608.294975,1760006611.868795,5.1570914841388,30.942548904832798,66.1740220123791,144.4046108293505
1760006611.691246,BEEP_RECOVER,lateral_right,pitch,1760006613.271632,1760006614.357415,1.922531977125254,11.535191862751525,63.6216960361578,145.36596359196602
1760006622.071246,BEEP_SLOUCH,neck_only,roll,1760006623.23137,1760006624.599214,75.02749981065946,262.5962493373081,15.448927774816127,287.0399022972142
1760006626.571246,BEEP_RECOVER,neck_only,roll,1760006628.071358,1760006629.170258,6.946554252985932,24.31293988545076,29.460800490307022,206.00713717847026
1760006637.502246,BEEP_SLOUCH,reach_left,roll,1760006638.182404,1760006640.448825,1.0490396820041323,1.7991030546370865,30.718920953903446,267.16309526074076
1760006642.002246,BEEP_RECOVER,reach_left,roll,1760006643.58258,1760006644.787427,6.6443327592220145,23.25516465727705,51.319264936136506,234.53156952962019
1760006650.892246,BEEP_SLOUCH,reach_right,roll,1760006651.018073,1760006651.311516,2.6537923688685283,4.551253912609525,21.11448961727944,275.36828418266884
1760006655.392246,BEEP_RECOVER,reach_right,roll,1760006657.155959,1760006658.292888,3.848045023593918,13.468157582578712,7.130696481560348,206.5401526572737
1760006666.562246,BEEP_SLOUCH,normal_slouch,roll,1760006666.872632,1760006667.033186,2.3403766063251097,4.013745879847562,10.548289444305228,340.9899090262958
1760006671.062246,BEEP_RECOVER,normal_slouch,pitch,1760006672.993607,1760006673.283372,1.330345938200359,7.982075629202154,17.702624201093634,264.34290082904243
1760006680.778246,BEEP_SLOUCH,fast_slouch,roll,1760006682.210405,1760006683.010941,77.04400755656617,269.6540264479816,15.982295080543356,293.30445014189297
1760006685.278246,BEEP_RECOVER,fast_slouch,roll,1760006686.758234,1760006688.613517,5.78477979224907,20.246729272871747,12.809143657826038,228.63949518483943
