quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
-0.083517,0.090319,-0.197302,0.972594,0.007073,0.007628,-0.006413,-0.004575,0.002507,0.003327,0.142731,0.198097,-0.969735,0.1432204157372019
-0.083427,0.090349,-0.197483,0.972562,-0.006169,0.002926,-0.010793,0.000439,0.001784,0.00092,0.142789,0.19796,-0.969754,0.14327890188319795
-0.083434,0.090379,-0.197523,0.972551,-0.014715,0.005002,-0.008499,0.001124,0.003101,-0.000524,0.142836,0.197991,-0.969741,0.14332631376731209
-0.083688,0.090513,-0.197667,0.972487,-0.007908,0.003052,-0.012176,-0.00153,-0.003436,0.002251,0.142962,0.198553,-0.969607,0.1434522200743854
-0.083714,0.090473,-0.19784,0.972453,-0.004302,0.0064,-0.012427,-0.000485,-0.001587,-0.000263,0.142838,0.198614,-0.969613,0.1433277477954749
-0.08374,0.090433,-0.198014,0.97242,-0.000697,0.009747,-0.012679,0.00056,0.000262,-0.002777,0.142714,0.198675,-0.969619,0.14320327859510806
-0.083755,0.090444,-0.198107,0.972398,-0.00279,0.006288,-0.007546,-0.000335,0.001318,-0.000805,0.14271,0.198721,-0.96961,0.14319913099517587
-0.08377,0.090454,-0.1982,0.972377,-0.004883,0.002829,-0.002414,-0.001229,0.002373,0.001167,0.142705,0.198768,-0.969601,0.14319319469880684
-0.083824,0.090413,-0.198212,0.972374,-0.00984,-0.007152,-0.003148,-0.000359,-0.000406,-0.000511,0.1426,0.198858,-0.969598,0.14308842846916017
-0.084026,0.090389,-0.198189,0.972363,-0.025245,0.000613,0.008633,0.001022,0.00201,-0.002361,0.142476,0.199237,-0.969539,0.14296226529259753
-0.084246,0.09048,-0.198095,0.972355,-0.031226,0.001202,0.012629,0.000589,0.00291,-0.001466,0.14258,0.199681,-0.969432,0.14306749710019945
-0.084461,0.090514,-0.197992,0.972354,-0.028007,-0.003671,0.013047,-0.000417,0.002487,-0.000309,0.142578,0.200094,-0.969347,0.14306563530704589
-0.084675,0.090548,-0.197889,0.972353,-0.024789,-0.008544,0.013465,-0.001423,0.002064,0.000848,0.142576,0.200506,-0.969262,0.14306426273436762
-0.085022,0.090582,-0.197642,0.97237,-0.013567,-0.000525,0.006798,0.001843,0.000115,-0.001821,0.142551,0.201152,-0.969132,0.14303785872816813
-0.085102,0.090613,-0.197617,0.972365,-0.00742,-0.000918,0.003036,0.002109,-0.000646,-0.000453,0.142583,0.201314,-0.969094,0.1430702023009728
-0.085181,0.090644,-0.197592,0.97236,-0.001273,-0.001311,-0.000726,0.002375,-0.001407,0.000915,0.142614,0.201475,-0.969056,0.14310295274587354
