quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
-0.08848,0.078751,-0.239335,0.963685,-0.052579,0.008647,0.053304,0.003745,0.023694,-0.021664,0.10943,0.20823,-0.971939
-0.090069,0.079485,-0.238535,0.963676,-0.059925,0.011693,0.036307,0.001863,0.001753,-0.0053,0.110226,0.211514,-0.97114
-0.090387,0.079686,-0.238445,0.963651,-0.041439,0.014292,0.012438,0.004595,-0.008989,-0.002596,0.110475,0.212206,-0.97096
-0.090832,0.080249,-0.238731,0.963492,0.013861,0.043709,-0.05595,0.011804,-0.02639,0.002929,0.11127,0.213347,-0.970619
-0.090652,0.080489,-0.239284,0.963352,0.047187,0.053197,-0.076005,0.01261,-0.027239,0.007973,0.111696,0.21318,-0.970607
-0.090194,0.080697,-0.239919,0.96322,0.075091,0.052386,-0.082395,0.011624,-0.024515,0.012669,0.112179,0.212474,-0.970706
-0.089735,0.080904,-0.240553,0.963087,0.102996,0.051576,-0.088785,0.010637,-0.021792,0.017364,0.112664,0.211769,-0.970804
-0.087369,0.080838,-0.242155,0.962908,0.140033,0.023682,-0.082922,0.007427,-0.015339,0.004466,0.113365,0.207408,-0.971664
-0.086288,0.080788,-0.242672,0.96288,0.137775,0.021403,-0.065724,0.006079,-0.012192,0.001517,0.113699,0.205379,-0.972055
-0.085206,0.080738,-0.243189,0.96285,0.135516,0.019125,-0.048526,0.00473,-0.009045,-0.001438,0.114035,0.203351,-0.972443
-0.083216,0.080234,-0.243863,0.962896,0.091956,-0.029793,-0.023629,-0.001096,-0.005522,0.003391,0.113928,0.19939,-0.973275
-0.082417,0.079662,-0.244039,0.962967,-0.001587,-0.016942,0.000602,0.005498,0.00474,-0.016879,0.113199,0.197612,-0.973723
-0.083038,0.079743,-0.243865,0.962952,-0.067936,-0.02016,0.015803,0.002592,0.007317,-0.014133,0.113077,0.198816,-0.973492
-0.083658,0.079823,-0.243691,0.962935,-0.134285,-0.023378,0.031004,-0.000313,0.009895,-0.011388,0.112956,0.200019,-0.973259
-0.084278,0.079903,-0.243517,0.962919,-0.200634,-0.026596,0.046204,-0.00322,0.012473,-0.008645,0.112835,0.201222,-0.973025
-0.087618,0.079851,-0.24251,0.962879,-0.206858,-0.087763,0.04189,-0.013877,-0.00042,0.000668,0.111278,0.207461,-0.971894
-0.090463,0.079197,-0.24148,0.962929,-0.16891,-0.100961,0.06547,-0.015399,0.005746,-0.001907,0.108831,0.212468,-0.971089
-0.091754,0.078842,-0.240781,0.963011,-0.161654,-0.096231,0.079415,-0.013735,0.010405,-0.002899,0.107666,0.214687,-0.97073
-0.092801,0.078554,-0.24008,0.963109,-0.156709,-0.081507,0.089374,-0.010329,0.012243,-0.003755,0.106753,0.216474,-0.970434
-0.094992,0.078169,-0.238415,0.96334,-0.135861,-0.038313,0.083642,-0.003091,0.002966,-0.004649,0.105313,0.220292,-0.969732
-0.095852,0.078189,-0.237888,0.963384,-0.117627,-0.018608,0.049503,-0.001681,-0.001241,-0.001991,0.105047,0.221885,-0.969398
-0.096568,0.078171,-0.237696,0.963361,-0.103751,-0.020582,0.013949,-0.004286,-0.000204,-0.000891,0.104706,0.223222,-0.969128
-0.097284,0.078154,-0.237504,0.963338,-0.089876,-0.022556,-0.021605,-0.006892,0.000833,0.000207,0.104366,0.224559,-0.968856
-0.098864,0.078262,-0.238136,0.963012,-0.105754,0.001084,-0.061695,-0.008557,0.020099,-0.007974,0.103649,0.227688,-0.968202
-0.100563,0.078674,-0.238686,0.962666,-0.129418,0.007218,0.00559,-0.016126,0.042634,0.002612,0.103467,0.231174,-0.967395
-0.101362,0.078872,-0.238364,0.962646,-0.133169,-0.002199,0.041666,-0.015325,0.036087,0.005381,0.10353,0.232751,-0.96701
-0.102184,0.078961,-0.237962,0.962651,-0.118123,-0.022012,0.03949,-0.01077,0.023054,0.013226,0.103391,0.234314,-0.966647
-0.104089,0.0789,-0.237425,0.962585,-0.091806,-0.011533,-0.012914,0.01243,-0.004579,0.00624,0.102469,0.237855,-0.96588
-0.104874,0.079026,-0.23759,0.962448,-0.086443,0.00853,-0.044984,0.016144,-0.011981,0.005814,0.102282,0.239423,-0.965513
-0.105515,0.079173,-0.238104,0.962239,-0.073485,0.019872,-0.096128,0.016619,-0.020265,0.006003,0.10212,0.240765,-0.965196
-0.106156,0.07932,-0.238618,0.962029,-0.060527,0.031214,-0.147272,0.017095,-0.028548,0.006192,0.101956,0.242106,-0.964878
-0.107103,0.079651,-0.241561,0.961162,-0.03103,0.031157,-0.232054,0.016266,-0.030889,0.009523,0.101371,0.244368,-0.964369
-0.107175,0.079669,-0.24558,0.960134,0.029425,0.003243,-0.275403,0.01073,-0.022005,0.00395,0.100346,0.244934,-0.964333
-0.106886,0.079506,-0.247245,0.959752,0.040941,-0.003358,-0.263639,0.00859,-0.008028,0.001605,0.099759,0.244482,-0.964508
-0.106546,0.079299,-0.248693,0.959433,0.041445,-0.011667,-0.217956,0.005374,0.00538,0.002651,0.09917,0.243889,-0.964719
-0.105733,0.07872,-0.251303,0.95889,0.037004,-0.041344,-0.090182,-0.003466,0.025902,0.003771,0.097825,0.242338,-0.965247
-0.105579,0.078313,-0.251313,0.958938,0.030034,-0.055663,-0.035048,-0.004733,0.024566,0.004368,0.097127,0.24185,-0.96544
-0.105425,0.077906,-0.251323,0.958986,0.023065,-0.069981,0.020086,-0.006,0.02323,0.004963,0.096429,0.241361,-0.965633
-0.105367,0.07673,-0.250278,0.95936,0.032405,-0.108519,0.123706,-0.009302,0.011107,0.002914,0.094481,0.240578,-0.966021
-0.105311,0.076121,-0.249269,0.959677,0.040588,-0.108975,0.140425,-0.009412,0.009773,-0.001005,0.093603,0.240078,-0.96623
-0.105254,0.075513,-0.24826,0.959993,0.048771,-0.109432,0.157144,-0.009519,0.008437,-0.004925,0.092723,0.23958,-0.966439
-0.105197,0.074904,-0.247251,0.960307,0.056954,-0.109888,0.173864,-0.009626,0.007099,-0.008846,0.091842,0.239083,-0.966646
-0.10496,0.073364,-0.244467,0.961164,0.033047,-0.095559,0.166648,-0.015757,0.010408,-0.009913,0.089711,0.237638,-0.967202
-0.105004,0.072254,-0.241951,0.96188,0.002728,-0.077731,0.145145,-0.014389,0.007089,-0.008712,0.088188,0.236966,-0.967507
-0.105126,0.071967,-0.240949,0.96214,-0.013557,-0.034175,0.135522,-0.006831,0.005614,-0.021334,0.087824,0.236973,-0.967539
-0.105211,0.072103,-0.240087,0.962336,-0.01748,0.008956,0.152616,-0.006684,0.001787,-0.018163,0.088255,0.237119,-0.967464
-0.105296,0.072239,-0.239225,0.962531,-0.021402,0.052087,0.16971,-0.006539,-0.002039,-0.014992,0.088686,0.237264,-0.967389
-0.104714,0.072998,-0.23679,0.963139,0.067226,0.032656,0.154074,-0.018196,-0.017673,0.006132,0.091024,0.236279,-0.967412
-0.103119,0.073054,-0.234906,0.963768,0.126143,0.02975,0.133565,-0.006791,-0.011446,-0.006121,0.092368,0.233086,-0.968059
-0.102171,0.073183,-0.234131,0.964048,0.124326,0.048789,0.14073,-0.003317,-0.005326,-0.006359,0.093261,0.231265,-0.96841
-0.101233,0.073406,-0.23333,0.964324,0.115613,0.067749,0.143108,-0.00248,-0.005664,-0.007046,0.094332,0.229499,-0.968727
-0.10028,0.073715,-0.232527,0.964594,0.11375,0.076453,0.132715,-0.002174,-0.006107,-0.005183,0.095574,0.227739,-0.96902
