quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
0.135892,-0.658629,-0.0,0.740095,-0.010492,0.008843,0.025192,0.856367,0.271896,-0.907529,-0.974897,-0.201146,-0.095482
0.012182,-0.203466,0.261825,0.943346,-0.027973,0.005855,0.045495,0.272731,-0.004747,-0.080922,-0.390256,0.083562,-0.916907
-0.024159,-0.062978,0.321142,0.944626,-0.060286,0.014035,0.092816,-0.010384,0.001404,0.002547,-0.103465,0.086093,-0.9909
-0.024651,-0.06302,0.321745,0.944405,-0.073966,0.011415,0.106356,-0.009533,0.006593,0.001215,-0.10317,0.087115,-0.990842
-0.025254,-0.06313,0.322433,0.944147,-0.084358,0.006139,0.105156,-0.006753,0.014998,0.000777,-0.102922,0.088396,-0.990754
-0.019927,-0.067216,0.32328,0.943703,-0.113482,-0.00847,0.077386,0.008744,0.044461,0.00487,-0.113979,0.08107,-0.99017
-0.021025,-0.067814,0.323681,0.943499,-0.132984,-0.013946,0.052848,0.014415,0.052336,0.007441,-0.114354,0.083574,-0.989918
-0.02257,-0.068399,0.323814,0.943375,-0.154894,-0.015754,0.016784,0.019669,0.053492,0.015431,-0.114435,0.086881,-0.989624
-0.027682,-0.069542,0.323654,0.94321,-0.168326,0.015135,-0.024885,0.027499,0.040632,0.019499,-0.113266,0.097235,-0.988795
-0.030357,-0.069919,0.323439,0.943174,-0.161874,0.027563,-0.040291,0.029455,0.036671,0.018902,-0.112253,0.102493,-0.98838
-0.03599,-0.069933,0.322882,0.943166,-0.13268,0.063663,-0.048763,0.026832,0.019902,0.009625,-0.108675,0.11305,-0.987628
-0.038549,-0.069621,0.3226,0.943184,-0.112816,0.07999,-0.047034,0.023171,0.010928,0.003171,-0.106458,0.117637,-0.987334
-0.040383,-0.068969,0.322351,0.94324,-0.089653,0.077552,-0.038535,0.018646,0.008766,-0.00301,-0.104074,0.120646,-0.987225
-0.043898,-0.067376,0.321838,0.943374,-0.052761,0.053768,-0.035595,0.01138,0.00852,-0.010893,-0.098866,0.126194,-0.987067
-0.044557,-0.066795,0.321662,0.943444,-0.038386,0.052287,-0.02496,0.010074,0.007096,-0.010765,-0.09737,0.127046,-0.987106
-0.045216,-0.066214,0.321485,0.943514,-0.024011,0.050807,-0.014326,0.008768,0.005671,-0.01064,-0.095875,0.127898,-0.987142
-0.046109,-0.065085,0.321569,0.943521,-0.010426,0.034844,0.034833,-0.002595,0.008085,-0.017594,-0.093163,0.128868,-0.987276
-0.046398,-0.06477,0.321864,0.943428,-0.016222,0.025767,0.065182,-0.008445,0.011029,-0.027506,-0.092344,0.129241,-0.987304
-0.047301,-0.064223,0.32341,0.942891,-0.040094,0.030071,0.152434,-0.019788,0.028885,-0.04042,-0.090516,0.13074,-0.987276
-0.047844,-0.064237,0.324487,0.942493,-0.089976,-0.000605,0.188207,-0.029134,0.044791,-0.055701,-0.090037,0.131873,-0.987169
-0.048387,-0.064251,0.325563,0.942093,-0.139859,-0.03128,0.223979,-0.038482,0.060699,-0.070983,-0.089556,0.133005,-0.987061
-0.051293,-0.066232,0.328947,0.940625,-0.368147,-0.145763,0.263615,-0.034469,0.090226,-0.040604,-0.090853,0.140068,-0.985965
-0.053942,-0.06846,0.330497,0.939774,-0.517026,-0.219924,0.241085,-0.005097,0.089201,0.031034,-0.093019,0.146639,-0.984807
-0.062221,-0.07304,0.332243,0.938301,-0.504019,0.191251,0.073323,0.155102,0.050436,0.218381,-0.095721,0.165298,-0.981587
-0.065751,-0.069702,0.331218,0.938676,-0.341624,0.278544,-0.029946,0.099452,0.034129,0.128765,-0.0873,0.169612,-0.981637
-0.06928,-0.066363,0.330185,0.939028,-0.179229,0.365838,-0.133216,0.043808,0.017812,0.039055,-0.078884,0.173936,-0.981592
-0.071029,-0.063878,0.328576,0.939634,-0.093615,0.313956,-0.206744,0.012513,0.003874,-0.008635,-0.073367,0.17546,-0.981749
-0.072777,-0.061392,0.326963,0.940228,-0.008002,0.262075,-0.280272,-0.018778,-0.01008,-0.056361,-0.067854,0.177,-0.981869
-0.075552,-0.057313,0.323475,0.941473,-0.007627,0.019538,-0.187125,-0.035445,-0.013535,-0.055929,-0.059039,0.17934,-0.982014
-0.075928,-0.057395,0.322673,0.941713,-0.039984,0.004248,-0.150988,-0.029615,-0.013718,-0.034183,-0.059099,0.180045,-0.981881
-0.076304,-0.057477,0.321871,0.941952,-0.07234,-0.011043,-0.114851,-0.023785,-0.013901,-0.012438,-0.05916,0.180749,-0.981748
-0.07671,-0.058312,0.320534,0.942323,-0.063001,0.025635,-0.041227,-0.025233,-0.035486,0.001533,-0.060722,0.181953,-0.981431
-0.076438,-0.058486,0.320309,0.942411,-0.03819,0.024642,-0.024789,-0.039159,-0.04053,-0.015871,-0.061267,0.181539,-0.981473
-0.07592,-0.059093,0.319693,0.942624,0.006676,-0.044647,-0.062923,-0.057651,-0.048992,-0.026935,-0.062863,0.180911,-0.981488
-0.075312,-0.059651,0.319163,0.942818,0.025194,-0.05516,-0.068338,-0.04878,-0.058253,-0.010238,-0.064406,0.180089,-0.98154
-0.074705,-0.060209,0.318632,0.94301,0.043713,-0.065674,-0.073753,-0.039911,-0.067511,0.006455,-0.065949,0.179264,-0.981588
-0.072218,-0.060718,0.317358,0.9436,0.084661,0.065757,-0.086229,-0.006911,-0.060602,0.045087,-0.06875,0.174829,-0.982196
-0.071021,-0.059973,0.316744,0.943945,0.119386,0.133743,-0.090356,0.005506,-0.052268,0.040295,-0.068231,0.172073,-0.982718
-0.069824,-0.059228,0.31613,0.944287,0.15411,0.201729,-0.094484,0.01792,-0.043934,0.035495,-0.067708,0.169316,-0.983233
-0.066705,-0.056186,0.314178,0.945349,0.274997,0.218239,-0.173309,0.025785,-0.04608,0.010623,-0.064316,0.161423,-0.984787
-0.064159,-0.054047,0.312798,0.946108,0.358423,0.210088,-0.178094,0.026948,-0.046186,-0.002417,-0.062131,0.155214,-0.985925
-0.061613,-0.051907,0.311413,0.946854,0.441848,0.201936,-0.182879,0.028089,-0.046292,-0.015501,-0.059923,0.149005,-0.987019
-0.054636,-0.046773,0.308918,0.948365,0.521777,0.118748,-0.140236,0.023179,-0.00884,-0.038589,-0.05496,0.132529,-0.989654
