quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
-0.035269,0.050074,-0.216379,0.974386,-0.067083,-0.004238,0.072155,-0.009815,0.01697,-0.000386,0.082321,0.090401,-0.992497
-0.036664,0.05044,-0.214982,0.974625,-0.09224,0.022638,0.102234,-0.006484,0.014142,-0.003697,0.082555,0.093155,-0.992223
-0.037428,0.050809,-0.214107,0.97477,-0.095953,0.033147,0.107335,-0.007209,0.008552,-0.002422,0.083027,0.094723,-0.992035
-0.039145,0.051735,-0.21233,0.975042,-0.097805,0.052664,0.093174,-0.005385,0.001915,-0.004617,0.084264,0.098306,-0.991582
-0.039741,0.052191,-0.211792,0.975111,-0.088979,0.058373,0.076734,-0.003462,-0.003041,-0.005456,0.08495,0.099612,-0.991394
-0.040276,0.052683,-0.211343,0.97516,-0.078971,0.061839,0.050655,-0.010573,-0.013101,-0.010293,0.085725,0.100819,-0.991205
-0.040901,0.053499,-0.211153,0.97513,0.000278,0.015083,-0.042037,-0.00544,-0.018076,0.012304,0.087065,0.102361,-0.99093
-0.040866,0.05345,-0.211582,0.975042,0.007508,0.016667,-0.056294,0.004345,-0.007404,0.000853,0.086939,0.10231,-0.990946
-0.040794,0.053582,-0.21199,0.974949,-0.006812,0.038339,-0.054544,0.005911,-0.003404,0.000607,0.087183,0.102262,-0.99093
-0.040781,0.05408,-0.212688,0.97477,-0.04026,0.048844,-0.023032,0.00554,-0.002518,0.001746,0.088085,0.102508,-0.990824
-0.040817,0.054423,-0.212788,0.974727,-0.03894,0.051381,-0.025813,0.005132,-0.011799,0.002623,0.088724,0.102731,-0.990744
-0.040907,0.054746,-0.213009,0.974657,-0.034148,0.045463,-0.031513,0.005299,-0.007463,0.002906,0.089289,0.103063,-0.990659
-0.041204,0.055466,-0.213672,0.974459,-0.021689,0.020328,-0.049407,0.003987,0.004828,0.007329,0.090489,0.104007,-0.990452
-0.041457,0.055678,-0.21388,0.97439,-0.051043,0.019699,-0.017974,0.003655,0.012213,0.001923,0.09077,0.104607,-0.990363
-0.041919,0.056121,-0.213965,0.974327,-0.050858,0.016629,0.000816,0.002268,0.007051,0.000504,0.091423,0.105701,-0.990186
-0.042131,0.056327,-0.213921,0.974315,-0.039211,0.019694,0.005316,0.001568,0.002818,-0.003689,0.091736,0.106196,-0.990104
-0.042339,0.056596,-0.213814,0.974314,-0.029105,0.026902,0.012098,0.001563,0.001371,-0.001779,0.092179,0.106706,-0.990009
-0.04255,0.056842,-0.213687,0.974319,-0.027172,0.025586,0.020356,0.002466,0.003649,-0.001836,0.092579,0.107206,-0.989917
-0.04302,0.057434,-0.213308,0.974346,-0.027823,0.023656,0.026222,0.005305,0.002002,-0.001634,0.093569,0.108335,-0.989701
-0.043211,0.057759,-0.213106,0.974363,-0.038257,0.037333,0.020021,0.007184,0.002397,-0.003324,0.094139,0.108823,-0.989594
