quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
-0.074036,0.057516,-0.171215,0.980763,-0.016253,0.006551,0.001067,-0.001877,0.005142,0.001066,0.087467,0.164919,-0.982421
-0.074098,0.057567,-0.171204,0.980757,-0.009753,0.002313,0.003149,-0.001582,0.006082,0.002029,0.087547,0.165056,-0.982391
-0.074244,0.05759,-0.171114,0.980761,0.003644,-0.00682,0.009121,-0.002783,0.007424,0.006654,0.087555,0.16534,-0.982343
-0.074246,0.057513,-0.171043,0.980777,0.008944,-0.013859,0.010388,-0.002481,0.006069,0.005677,0.087417,0.165313,-0.982359
-0.074223,0.057365,-0.170952,0.980804,0.012655,-0.013332,0.011656,-0.000245,0.005253,0.001199,0.087151,0.165211,-0.9824
-0.074201,0.057217,-0.170861,0.98083,0.016366,-0.012805,0.012925,0.001992,0.004438,-0.003279,0.086885,0.165109,-0.982441
-0.074285,0.057347,-0.170657,0.980851,0.001372,0.008683,0.008973,0.000628,-0.002388,-0.000488,0.087143,0.165299,-0.982386
-0.074298,0.057373,-0.170658,0.980849,0.007975,-0.000166,0.00108,-0.001732,-0.004831,0.001684,0.087189,0.165333,-0.982376
-0.074311,0.057399,-0.170659,0.980846,0.014579,-0.009014,-0.006812,-0.004091,-0.007275,0.003856,0.087235,0.165366,-0.982367
-0.073894,0.056982,-0.17087,0.980865,0.034623,-0.015139,-0.003542,-0.002362,0.002948,-0.001979,0.086531,0.164434,-0.982585
-0.073727,0.056926,-0.170791,0.980895,0.026409,-0.011366,0.011463,-0.006314,0.002844,-0.001512,0.086492,0.164082,-0.982647
-0.07356,0.056869,-0.170712,0.980924,0.018195,-0.007592,0.026467,-0.010265,0.00274,-0.001045,0.086453,0.163731,-0.98271
-0.073171,0.056457,-0.170366,0.981037,0.024556,-0.022383,0.0185,-0.007668,-0.002849,-0.002603,0.085841,0.162803,-0.982917
-0.073035,0.056283,-0.170275,0.981073,0.023548,-0.012113,0.009923,-0.005656,-0.005026,-0.004932,0.085564,0.162473,-0.982996
-0.072842,0.056099,-0.170262,0.9811,0.025046,-0.001399,-0.006735,-0.004782,-0.006725,-0.005706,0.085273,0.162033,-0.983094
-0.072649,0.056011,-0.170423,0.981092,0.023573,0.010787,-0.019853,-0.005317,-0.00538,-0.006503,0.085141,0.161641,-0.98317
-0.072501,0.056035,-0.170607,0.981069,0.019676,0.018746,-0.024985,-0.004804,-0.002997,-0.006383,0.085209,0.161377,-0.983207
-0.072354,0.056059,-0.170791,0.981047,0.015779,0.026704,-0.030118,-0.004292,-0.000614,-0.006262,0.085278,0.161113,-0.983245
-0.072067,0.056431,-0.171319,0.980955,0.003163,0.03692,-0.020489,-0.005778,0.001931,-0.002292,0.086018,0.160724,-0.983244
-0.071965,0.056618,-0.171427,0.980933,0.006183,0.032934,-0.008848,-0.005279,0.001762,-0.000852,0.086403,0.160598,-0.983231
-0.071672,0.057034,-0.171455,0.980925,0.014147,0.025857,0.016141,-0.004463,0.002213,-0.0001,0.087316,0.160167,-0.983221
-0.071542,0.057126,-0.171362,0.980945,0.01713,0.023869,0.019588,-0.002245,1.8e-05,-0.001049,0.087555,0.159935,-0.983237
-0.071422,0.057225,-0.171282,0.980962,0.014408,0.024545,0.013,-0.000318,-0.001333,-0.002051,0.087804,0.159727,-0.983249
-0.071302,0.057323,-0.171201,0.980979,0.011686,0.025222,0.006411,0.001609,-0.002684,-0.003054,0.088052,0.159519,-0.98326
-0.071299,0.057663,-0.171297,0.980943,-0.012286,0.02932,-0.00806,0.005732,0.000753,-0.001716,0.088701,0.159635,-0.983183
