quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
0.034046,0.474586,-0.0,0.879551,-0.036186,-0.014874,-0.001329,-0.687428,0.09293,-0.443385,0.834844,-0.059891,-0.547218
0.00013,0.110692,-0.154332,0.981799,-0.041215,-0.004512,0.00445,-0.069757,-0.001563,-0.013904,0.217395,0.033911,-0.975494
-0.003649,0.075663,-0.167355,0.982982,-0.037133,-0.036265,-0.006106,-0.003259,-0.003467,0.002647,0.14753,0.0325,-0.988523
-0.003716,0.075637,-0.167338,0.982987,-0.030488,-0.027131,-0.004804,-0.003624,-0.005701,-0.002479,0.147456,0.03262,-0.988531
-0.003783,0.07561,-0.16732,0.982992,-0.023844,-0.017997,-0.003503,-0.003989,-0.007935,-0.007605,0.147382,0.03274,-0.988538
-0.00385,0.075583,-0.167303,0.982997,-0.017199,-0.008863,-0.002201,-0.004354,-0.010168,-0.012731,0.147308,0.03286,-0.988545
-0.003157,0.074453,-0.167224,0.983099,-0.007989,-0.01418,0.005261,-0.009623,-0.000221,-0.007769,0.145333,0.031109,-0.988894
-0.003026,0.074109,-0.167132,0.983141,-0.021727,-0.014037,0.01166,-0.010771,0.005143,-0.004487,0.144708,0.030722,-0.988997
-0.002674,0.073476,-0.166916,0.983226,-0.053054,-0.016389,0.001477,-0.00847,0.005323,-0.001967,0.143594,0.029787,-0.989188
-0.002572,0.07319,-0.166868,0.983256,-0.066103,-0.018702,-0.003618,-0.007357,0.005368,-0.001398,0.14307,0.029484,-0.989273
-0.003026,0.072622,-0.166849,0.9833,-0.066984,-0.021869,-0.004705,-0.00945,0.002606,0.000634,0.141808,0.030184,-0.989434
-0.004487,0.071557,-0.166828,0.983376,-0.028709,-0.023462,0.011284,-0.012125,0.002349,-0.00668,0.139237,0.032701,-0.989719
-0.004787,0.071346,-0.166673,0.983416,-0.020748,-0.007143,0.021005,-0.010018,0.00426,-0.007915,0.13873,0.033198,-0.989774
-0.005086,0.071135,-0.166518,0.983456,-0.012786,0.009177,0.030726,-0.007912,0.006171,-0.00915,0.138223,0.033695,-0.989828
-0.00557,0.070813,-0.16619,0.983532,-0.049766,0.019295,0.003002,-0.00273,0.011672,-0.003048,0.137443,0.034494,-0.989909
-0.006185,0.070754,-0.166373,0.983502,-0.063318,0.022499,-0.015189,0.000658,0.012239,-0.002346,0.137115,0.035708,-0.989911
-0.006799,0.070695,-0.166556,0.983471,-0.07687,0.025703,-0.03338,0.004047,0.012806,-0.001644,0.136787,0.036922,-0.989912
-0.007413,0.070635,-0.166739,0.98344,-0.090421,0.028906,-0.05157,0.007436,0.013373,-0.000944,0.136459,0.038136,-0.989911
-0.008663,0.070784,-0.167387,0.983309,-0.078453,0.006755,-0.064328,0.003435,0.01446,0.007369,0.136305,0.040734,-0.989829
-0.009497,0.070868,-0.167927,0.983203,-0.066866,-0.000853,-0.063368,0.005518,0.02063,0.001989,0.136165,0.042476,-0.989775
-0.010634,0.07128,-0.168514,0.983061,-0.064998,0.000228,-0.03214,0.005102,0.027286,0.000122,0.136562,0.04493,-0.989612
-0.01108,0.07149,-0.168668,0.983015,-0.067944,0.003541,-0.021494,0.004355,0.028317,-4.5e-05,0.136814,0.0459,-0.989533
-0.012787,0.072059,-0.168666,0.982953,-0.070322,0.009161,0.00783,0.006737,0.019913,0.000611,0.137347,0.049446,-0.989288
-0.013653,0.072351,-0.1686,0.982931,-0.062519,0.00821,0.002418,0.007269,0.014094,0.000629,0.137628,0.051237,-0.989158
-0.01437,0.072611,-0.168576,0.982906,-0.054651,0.009492,-0.000319,0.007934,0.011916,0.002388,0.137894,0.05273,-0.989042
-0.015087,0.072871,-0.168551,0.98288,-0.046784,0.010773,-0.003055,0.008598,0.009737,0.004145,0.13816,0.054223,-0.988925
-0.01631,0.073319,-0.168531,0.982831,-0.017119,-0.006442,0.005892,0.00321,0.008209,0.006547,0.138623,0.056772,-0.988717
-0.016432,0.073375,-0.168328,0.982859,-0.007083,-0.005893,0.021909,0.002774,0.00865,0.003019,0.138702,0.057002,-0.988692
-0.016554,0.07343,-0.168125,0.982888,0.002952,-0.005345,0.037925,0.002338,0.009091,-0.000509,0.13878,0.057233,-0.988668
-0.016676,0.073485,-0.167922,0.982916,0.012988,-0.004796,0.053942,0.001902,0.009533,-0.004036,0.138859,0.057463,-0.988644
-0.016496,0.073644,-0.166947,0.983073,0.02711,0.005382,0.070426,0.001359,0.001113,-0.003817,0.139286,0.057022,-0.988609
