t_beep,event,type,axis_chosen,onset_time,hold_time,onset_score,dtheta,max_pitch,max_roll
1760171777.50472,BEEP_SLOUCH,normal_slouch,roll,1760171779.003959,1760171780.840295,100.49751585225125,351.7413054828794,2.897692629086806,352.043930738818
1760171782.00472,BEEP_RECOVER,normal_slouch,roll,1760171783.722985,1760171784.806014,3.2070417850445665,11.224646247655983,2.939188176731651,333.4499921258002
1760171791.27572,BEEP_SLOUCH,fast_slouch,fallback,nan,nan,0.0,0.0,3.531648557178299,349.1125084713048
1760171795.77572,BEEP_RECOVER,fast_slouch,roll,1760171797.387482,1760171798.559147,2.410574846607468,8.437011963126139,4.667582843884096,333.6395451016796
1760171806.77572,BEEP_SLOUCH,micro_slouch,roll,1760171808.25037,1760171809.483217,1.65405259464751,5.789184081266285,2.8233745793611185,344.295697224169
1760171811.27572,BEEP_RECOVER,micro_slouch,roll,1760171813.011246,1760171814.319753,2.353532267147346,8.23736293501571,2.787007514879093,345.8809940451433
1760171821.67172,BEEP_SLOUCH,lateral_left,pitch,1760171823.365396,1760171824.839184,1.253734464323136,3.6859793251100195,28.794298230635057,347.65214108297334
1760171826.17172,BEEP_RECOVER,lateral_left,pitch,1760171827.980972,1760171828.508303,2.3543496122533423,14.126097673520054,28.68292909719986,300.19153539060164
1760171837.69872,BEEP_SLOUCH,lateral_right,pitch,1760171839.317692,1760171841.202503,1.3750239275866087,4.042570347104629,34.81201422941523,349.6467321809692
1760171842.19872,BEEP_RECOVER,lateral_right,pitch,1760171843.973034,1760171844.769062,2.3273926488950867,13.96435589337052,36.461909432493684,306.3991309883446
1760171897.06972,BEEP_SLOUCH,normal_slouch,roll,1760171898.599251,1760171900.648378,1.8155310263398343,3.113635710172815,4.650750139652051,348.9249494440204
1760171901.56972,BEEP_RECOVER,normal_slouch,roll,1760171903.589778,1760171904.2389,4.050515724219646,14.176805034768762,3.3379141588042125,335.80296604065495
1760171911.2857199,BEEP_SLOUCH,fast_slouch,roll,1760171912.858502,1760171914.379237,100.40977325177353,351.43420638120733,4.313627357422725,352.31747787847826
1760171915.7857199,BEEP_RECOVER,fast_slouch,roll,1760171917.557506,1760171918.477177,4.675235977868681,16.363325922540383,5.054260253467936,332.1630376350728
1760171926.66272,BEEP_SLOUCH,micro_slouch,roll,1760171928.180697,1760171929.541412,1.5136569666909085,5.29779938341818,2.4155576598814044,346.8491541702127
1760171931.16272,BEEP_RECOVER,micro_slouch,roll,1760171933.039491,1760171934.207375,2.6933012913347136,9.426554519671498,2.6450081313576463,342.38168414140347
1760171942.2367198,BEEP_SLOUCH,lateral_left,pitch,1760171943.885766,1760171945.713722,1.4769514593037185,4.342237290352932,29.946689428527783,349.947253921903
1760171946.7367198,BEEP_RECOVER,lateral_left,pitch,1760171948.674267,1760171949.279988,2.244168014256623,13.465008085539738,28.92524614941683,337.22368549143084
1760171956.27872,BEEP_SLOUCH,lateral_right,pitch,1760171957.896448,1760171960.116947,1.0006601324536186,2.9419407894136382,33.80693969516508,359.2115625408478
1760171960.77872,BEEP_RECOVER,lateral_right,pitch,1760171962.580696,1760171963.291152,2.6493578057488776,15.896146834493265,34.49400041514226,351.5356761603993
1760172016.66672,BEEP_SLOUCH,normal_slouch,roll,1760172018.083575,1760172019.950632,1.1390463020586026,3.986662057205109,6.216020866535278,346.7756052436441
1760172021.16672,BEEP_RECOVER,normal_slouch,roll,1760172023.086158,1760172023.929135,3.2789338339718888,11.476268418901611,4.943147221382559,331.8866208098483
1760172032.4047198,BEEP_SLOUCH,fast_slouch,roll,1760172033.976695,1760172035.527197,80.17718625297503,280.6201518854126,3.7705629719847833,351.80283314044107
1760172036.9047198,BEEP_RECOVER,fast_slouch,roll,1760172038.576656,1760172039.651284,2.4967583177810786,8.738654112233775,3.411832998145661,336.32363145792726
1760172047.84472,BEEP_SLOUCH,micro_slouch,roll,1760172049.315967,1760172051.366173,1.0475652346986197,3.666478321445169,2.5921705640114276,346.77792761108344
1760172052.34472,BEEP_RECOVER,micro_slouch,roll,1760172054.14345,1760172055.036451,2.9468295460500338,10.313903411175119,1.5773013583620479,344.04751576382057
1760172061.23872,BEEP_SLOUCH,lateral_left,pitch,1760172062.879944,1760172064.937479,1.1050859487399325,3.2489526892954013,30.68623519730009,350.73270675043153
1760172065.73872,BEEP_RECOVER,lateral_left,pitch,1760172067.636074,1760172067.933477,2.2297199775493937,13.378319865296362,31.77774882929918,301.27929282527344
1760172077.83772,BEEP_SLOUCH,lateral_right,fallback,nan,nan,0.0,0.0,31.2132085162038,349.8697884947518
1760172082.33772,BEEP_RECOVER,lateral_right,roll,1760172084.194844,1760172084.924246,39.95054251040731,139.82689878642557,31.493818073549868,262.23836761364475
