t_sec,event,value,confidence
1760107861.380,UPRIGHT_HOLD_START,type=normal_slouch,0.000
1760107865.898,SLOUCH_START,type=normal_slouch,2.159
1760107866.754,SLOUCHED_HOLD_START,type=normal_slouch,294.215
1760107870.458,RECOVERY_START,type=normal_slouch,3.526
1760107871.615,UPRIGHT_HOLD_START,type=normal_slouch,40.129
1760107879.672,SLOUCH_START,type=fast_slouch,3.096
1760107882.314,SLOUCHED_HOLD_START,type=fast_slouch,22.141
1760107884.277,RECOVERY_START,type=fast_slouch,3.172
1760107885.219,UPRIGHT_HOLD_START,type=fast_slouch,38.013
1760107895.053,SLOUCH_START,type=micro_slouch,2.332
1760107896.234,SLOUCHED_HOLD_START,type=micro_slouch,16.741
1760107899.760,RECOVERY_START,type=micro_slouch,2.809
1760107901.337,UPRIGHT_HOLD_START,type=micro_slouch,18.813
1760107909.794,NOSLOUCH_START,type=lateral_left,3.967
1760107912.211,NOSLOUCHED_HOLD_START,type=lateral_left,17.398
1760107914.605,RECOVERY_START,type=lateral_left,2.978
1760107915.876,UPRIGHT_HOLD_START,type=lateral_left,44.032
1760107925.015,NOSLOUCH_START,type=lateral_right,1.682
1760107925.381,NOSLOUCHED_HOLD_START,type=lateral_right,3.178
1760107930.610,RECOVERY_START,type=lateral_right,2.904
1760107931.888,UPRIGHT_HOLD_START,type=lateral_right,9.266
1760107941.108,SLOUCH_START,type=neck_only,2.364
1760107942.271,SLOUCHED_HOLD_START,type=neck_only,266.823
1760107945.551,RECOVERY_START,type=neck_only,3.113
1760107946.472,UPRIGHT_HOLD_START,type=neck_only,52.505
1760107956.294,NOSLOUCH_START,type=reach_left,4.769
1760107959.645,NOSLOUCHED_HOLD_START,type=reach_left,87.516
1760107961.002,RECOVERY_START,type=reach_left,2.440
1760107962.106,UPRIGHT_HOLD_START,type=reach_left,30.851
1760107969.533,NOSLOUCH_START,type=reach_right,2.581
1760107971.617,NOSLOUCHED_HOLD_START,type=reach_right,262.187
1760107974.348,RECOVERY_START,type=reach_right,2.632
1760107975.492,UPRIGHT_HOLD_START,type=reach_right,14.541
1760107985.458,SLOUCH_START,type=normal_slouch,2.094
1760107986.598,SLOUCHED_HOLD_START,type=normal_slouch,27.684
1760107990.032,RECOVERY_START,type=normal_slouch,2.420
1760107992.001,UPRIGHT_HOLD_START,type=normal_slouch,10.159
1760107999.565,SLOUCH_START,type=fast_slouch,2.467
1760108001.071,SLOUCHED_HOLD_START,type=fast_slouch,39.731
1760108004.364,RECOVERY_START,type=fast_slouch,4.494
1760108005.336,UPRIGHT_HOLD_START,type=fast_slouch,11.013
1760108015.066,SLOUCH_START,type=micro_slouch,5.324
1760108016.072,SLOUCHED_HOLD_START,type=micro_slouch,47.838
1760108019.651,RECOVERY_START,type=micro_slouch,2.936
1760108021.328,UPRIGHT_HOLD_START,type=micro_slouch,26.487
1760108030.225,NOSLOUCH_START,type=lateral_left,3.346
1760108032.059,NOSLOUCHED_HOLD_START,type=lateral_left,15.619
1760108035.173,RECOVERY_START,type=lateral_left,4.269
1760108036.544,UPRIGHT_HOLD_START,type=lateral_left,37.660
1760108043.772,NOSLOUCH_START,type=lateral_right,4.305
1760108044.199,NOSLOUCHED_HOLD_START,type=lateral_right,1.812
1760108049.230,RECOVERY_START,type=lateral_right,2.706
1760108050.535,UPRIGHT_HOLD_START,type=lateral_right,11.322
1760108059.930,SLOUCH_START,type=neck_only,2.656
1760108061.501,SLOUCHED_HOLD_START,type=neck_only,250.421
1760108064.579,RECOVERY_START,type=neck_only,2.251
1760108065.576,UPRIGHT_HOLD_START,type=neck_only,58.034
1760108075.622,NOSLOUCH_START,type=reach_left,2.803
1760108077.607,NOSLOUCHED_HOLD_START,type=reach_left,33.580
1760108080.519,RECOVERY_START,type=reach_left,2.203
1760108081.466,UPRIGHT_HOLD_START,type=reach_left,21.926
1760108090.316,NOSLOUCH_START,type=reach_right,3.352
1760108092.655,NOSLOUCHED_HOLD_START,type=reach_right,19.023
1760108098.880,RECOVERY_START,type=reach_right,0.302
1760108098.976,UPRIGHT_HOLD_START,type=reach_right,45.193
1760108104.877,SLOUCH_START,type=normal_slouch,2.149
1760108106.592,SLOUCHED_HOLD_START,type=normal_slouch,26.167
1760108109.740,RECOVERY_START,type=normal_slouch,3.424
1760108111.241,UPRIGHT_HOLD_START,type=normal_slouch,8.737
1760108120.688,SLOUCH_START,type=fast_slouch,4.395
1760108122.000,SLOUCHED_HOLD_START,type=fast_slouch,34.670
1760108125.362,RECOVERY_START,type=fast_slouch,3.675
1760108126.723,UPRIGHT_HOLD_START,type=fast_slouch,33.940
1760108135.996,SLOUCH_START,type=micro_slouch,4.423
1760108136.616,SLOUCHED_HOLD_START,type=micro_slouch,301.282
1760108139.334,RECOVERY_START,type=micro_slouch,2.328
1760108141.852,UPRIGHT_HOLD_START,type=micro_slouch,4.294
